email_id,sender,sender_company,timestamp,subject,thread_id,content,priority,sentiment,intent,urgency_keywords,entities
1,sarah.wilson@globallogistics.com,Supplier Networks,10-09-2025 19:46,Question about invoice #INV9342,thread_5793,"Hi there,

Can you confirm if shipment PO#PO94787 was delivered successfully? Our warehouse team hasn't received it yet but the tracking shows delivered.

Please verify the delivery address and provide proof of delivery.

Best,
Sarah Wilson",MEDIUM,NEUTRAL,QUERY,[],"{'po_numbers': ['PO94787'], 'container_ids': [], 'invoice_numbers': [], 'amounts': []}"
2,robert.taylor@freight.com,Supply Chain Inc,28-09-2025 12:26,Delivery confirmation needed for PO#PO56889,thread_9792,"Hi there,

Can you confirm if shipment PO#PO56889 was delivered successfully? Our warehouse team hasn't received it yet but the tracking shows delivered.

Please verify the delivery address and provide proof of delivery.

Best,
Robert Taylor",MEDIUM,NEUTRAL,QUERY,[],"{'po_numbers': ['PO56889'], 'container_ids': [], 'invoice_numbers': [], 'amounts': []}"
3,ashley.clark@partner.com,Global Logistics Ltd,13-09-2025 09:12,Emergency: Production halt due to missing parts,thread_3849,"Dear Logistics Team,

Container CNTR859828 has gone missing and we cannot locate it in the tracking system. This contains $50,000 worth of inventory that we need for next week's orders.

Please escalate this immediately and provide tracking updates every 2 hours.

Thanks,
Ashley Clark",HIGH,NEGATIVE,COMPLAINT,"['URGENT', 'CRITICAL', 'Emergency', 'immediate']","{'po_numbers': [], 'container_ids': ['CNTR859828'], 'invoice_numbers': [], 'amounts': ['$500', '$750', '$50,000']}"
4,david.lee@warehouse.com,Trade Networks,04-10-2025 02:48,Emergency: Production halt due to missing parts,thread_1123,"Hi Team,

We have a critical situation with PO#PO92176. The shipment was supposed to arrive 5 days ago and our production line is completely stopped. We need immediate updates on the ETA and compensation for the delays.

This is causing significant financial losses.

Urgent response needed.

Best regards,
David Lee",HIGH,NEGATIVE,COMPLAINT,"['URGENT', 'CRITICAL', 'Emergency', 'immediate']","{'po_numbers': ['PO92176'], 'container_ids': [], 'invoice_numbers': [], 'amounts': []}"
5,ashley.clark@partner.com,UK Manufacturing Co,13-09-2025 04:33,Request for quote - new shipment,thread_4579,"Dear Team,

I wanted to thank you for the excellent handling of our recent shipment PO#PO44032. Everything arrived on time and in perfect condition.

Looking forward to continuing our partnership.

Best regards,
Ashley Clark",LOW,POSITIVE,REQUEST,[],"{'po_numbers': ['PO44032'], 'container_ids': [], 'invoice_numbers': [], 'amounts': []}"
6,jennifer.davis@import.co,Export Solutions,28-09-2025 00:24,Thank you for excellent service,thread_8499,"Hello,

We're planning a new shipment route from Mumbai to New York. Can you provide a quote for 20 containers (40ft each) with expected delivery in 3-4 weeks?

No rush on this - please send the quote by end of next week.

Thanks,
Jennifer Davis",LOW,POSITIVE,REQUEST,[],"{'po_numbers': [], 'container_ids': ['CNTR690652'], 'invoice_numbers': [], 'amounts': []}"
7,kevin.hall@logistics.com,Import Experts,24-09-2025 22:25,General inquiry about services,thread_7139,"Hello,

We're planning a new shipment route from Mumbai to New York. Can you provide a quote for 20 containers (40ft each) with expected delivery in 3-4 weeks?

No rush on this - please send the quote by end of next week.

Thanks,
Kevin Hall",LOW,POSITIVE,REQUEST,[],"{'po_numbers': [], 'container_ids': ['CNTR887743'], 'invoice_numbers': [], 'amounts': []}"
8,sarah.wilson@globallogistics.com,Shipper Pro,11-09-2025 22:59,Thank you for excellent service,thread_2868,"Hello,

We're planning a new shipment route from Mumbai to New York. Can you provide a quote for 20 containers (40ft each) with expected delivery in 3-4 weeks?

No rush on this - please send the quote by end of next week.

Thanks,
Sarah Wilson",LOW,POSITIVE,REQUEST,[],"{'po_numbers': [], 'container_ids': ['CNTR419512'], 'invoice_numbers': [], 'amounts': []}"
9,amanda.young@supply.net,Global Logistics Ltd,30-09-2025 02:01,Question about invoice #INV4825,thread_8816,"Hello,

I received invoice #INV4825 but there seems to be a discrepancy in the freight charges. The quoted amount was $500 but the invoice shows $750.

Can you please clarify this difference?

Thanks,
Amanda Young",MEDIUM,NEUTRAL,QUERY,[],"{'po_numbers': [], 'container_ids': [], 'invoice_numbers': ['INV4825'], 'amounts': ['$500', '$750', '$50,000']}"
10,matthew.harris@client.co,Global Logistics Ltd,30-09-2025 03:18,Delivery confirmation needed for PO#PO82615,thread_6525,"Hi there,

Can you confirm if shipment PO#PO82615 was delivered successfully? Our warehouse team hasn't received it yet but the tracking shows delivered.

Please verify the delivery address and provide proof of delivery.

Best,
Matthew Harris",MEDIUM,NEUTRAL,QUERY,[],"{'po_numbers': ['PO82615'], 'container_ids': [], 'invoice_numbers': [], 'amounts': []}"
11,michelle.anderson@carrier.com,Partner Industries,14-09-2025 00:29,URGENT: Delayed shipment PO#PO98174,thread_7304,"Hi Team,

We have a critical situation with PO#PO98174. The shipment was supposed to arrive 8 days ago and our production line is completely stopped. We need immediate updates on the ETA and compensation for the delays.

This is causing significant financial losses.

Urgent response needed.

Best regards,
Michelle Anderson",HIGH,NEGATIVE,COMPLAINT,"['URGENT', 'CRITICAL', 'Emergency', 'immediate']","{'po_numbers': ['PO98174'], 'container_ids': [], 'invoice_numbers': [], 'amounts': []}"
12,anna.garcia@distribution.net,Supplier Networks,26-09-2025 01:40,Thank you for excellent service,thread_4153,"Hello,

We're planning a new shipment route from Mumbai to New York. Can you provide a quote for 20 containers (40ft each) with expected delivery in 3-4 weeks?

No rush on this - please send the quote by end of next week.

Thanks,
Anna Garcia",LOW,POSITIVE,REQUEST,[],"{'po_numbers': [], 'container_ids': ['CNTR511942'], 'invoice_numbers': [], 'amounts': []}"
13,chris.martinez@export.org,AcmeCorp,03-10-2025 06:25,Emergency: Production halt due to missing parts,thread_3811,"Dear Logistics Team,

Container CNTR392678 has gone missing and we cannot locate it in the tracking system. This contains $50,000 worth of inventory that we need for next week's orders.

Please escalate this immediately and provide tracking updates every 2 hours.

Thanks,
Chris Martinez",HIGH,NEGATIVE,COMPLAINT,"['URGENT', 'CRITICAL', 'Emergency', 'immediate']","{'po_numbers': [], 'container_ids': ['CNTR392678'], 'invoice_numbers': [], 'amounts': ['$500', '$750', '$50,000']}"
14,matthew.harris@client.co,Partner Industries,27-09-2025 21:24,Update requested on shipment status,thread_7870,"Hello,

I received invoice #INV2537 but there seems to be a discrepancy in the freight charges. The quoted amount was $500 but the invoice shows $750.

Can you please clarify this difference?

Thanks,
Matthew Harris",MEDIUM,NEUTRAL,QUERY,[],"{'po_numbers': [], 'container_ids': [], 'invoice_numbers': ['INV2537'], 'amounts': ['$500', '$750', '$50,000']}"
15,david.lee@warehouse.com,UK Manufacturing Co,21-09-2025 22:17,URGENT: Delayed shipment PO#PO28253,thread_2033,"Dear Logistics Team,

Container CNTR534199 has gone missing and we cannot locate it in the tracking system. This contains $50,000 worth of inventory that we need for next week's orders.

Please escalate this immediately and provide tracking updates every 2 hours.

Thanks,
David Lee",HIGH,NEGATIVE,COMPLAINT,"['URGENT', 'CRITICAL', 'Emergency', 'immediate']","{'po_numbers': ['PO28253'], 'container_ids': ['CNTR534199'], 'invoice_numbers': [], 'amounts': ['$500', '$750', '$50,000']}"
16,emily.white@vendor.com,Global Logistics Ltd,08-09-2025 04:04,Emergency: Production halt due to missing parts,thread_6800,"Dear Logistics Team,

Container CNTR679850 has gone missing and we cannot locate it in the tracking system. This contains $50,000 worth of inventory that we need for next week's orders.

Please escalate this immediately and provide tracking updates every 2 hours.

Thanks,
Emily White",HIGH,NEGATIVE,COMPLAINT,"['URGENT', 'CRITICAL', 'Emergency', 'immediate']","{'po_numbers': [], 'container_ids': ['CNTR679850'], 'invoice_numbers': [], 'amounts': ['$500', '$750', '$50,000']}"
17,melissa.wright@cargo.com,Supply Chain Inc,30-09-2025 06:25,URGENT: Delayed shipment PO#PO42330,thread_7316,"Dear Logistics Team,

Container CNTR994873 has gone missing and we cannot locate it in the tracking system. This contains $50,000 worth of inventory that we need for next week's orders.

Please escalate this immediately and provide tracking updates every 2 hours.

Thanks,
Melissa Wright",HIGH,NEGATIVE,COMPLAINT,"['URGENT', 'CRITICAL', 'Emergency', 'immediate']","{'po_numbers': ['PO42330'], 'container_ids': ['CNTR994873'], 'invoice_numbers': [], 'amounts': ['$500', '$750', '$50,000']}"
